"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_lbs","reps","distance_miles","duration_seconds","rpe"
"Leg2 new","14 Dec 2025, 12:43","14 Dec 2025, 13:54","","Calf Press (Machine)",,"",2,"normal",270,10,,,
"Leg2 new","14 Dec 2025, 12:43","14 Dec 2025, 13:54","","Seated Leg Curl (Machine)",,"",0,"normal",115,10,,,
"Leg2 new","14 Dec 2025, 12:43","14 Dec 2025, 13:54","","Seated Leg Curl (Machine)",,"",1,"normal",145,10,,,
"Leg2 new","14 Dec 2025, 12:43","14 Dec 2025, 13:54","","Seated Leg Curl (Machine)",,"",2,"normal",160,10,,,
"Leg2 new","14 Dec 2025, 12:43","14 Dec 2025, 13:54","","Seated Leg Curl (Machine)",,"",3,"normal",160,10,,,
"Push 2new","13 Dec 2025, 16:00","13 Dec 2025, 16:54","","Incline Bench Press (Barbell)",,"Stopper at 9 45",0,"normal",135,10,,,
"Push 2new","13 Dec 2025, 16:00","13 Dec 2025, 16:54","","Incline Bench Press (Barbell)",,"Stopper at 9 45",1,"normal",185,3,,,
"Push 2new","13 Dec 2025, 16:00","13 Dec 2025, 16:54","","Incline Bench Press (Barbell)",,"Stopper at 9 45",2,"normal",185,5,,,
"Push 2new","13 Dec 2025, 16:00","13 Dec 2025, 16:54","","Incline Bench Press (Barbell)",,"Stopper at 9 45",3,"normal",205,2,,,
"Push 2new","13 Dec 2025, 16:00","13 Dec 2025, 16:54","","Overhead Press (Barbell)",,"",0,"normal",95,5,,,
"Push 2new","13 Dec 2025, 16:00","13 Dec 2025, 16:54","","Overhead Press (Barbell)",,"",1,"normal",115,5,,,
"Push 2new","13 Dec 2025, 16:00","13 Dec 2025, 16:54","","Overhead Press (Barbell)",,"",2,"normal",115,5,,,
"Push 2new","13 Dec 2025, 16:00","13 Dec 2025, 16:54","","Overhead Press (Barbell)",,"",3,"normal",95,5,,,
"Push 2new","13 Dec 2025, 16:00","13 Dec 2025, 16:54","","Bench Press - Close Grip (Barbell)",,"",0,"normal",135,10,,,
"Push 2new","13 Dec 2025, 16:00","13 Dec 2025, 16:54","","Bench Press - Close Grip (Barbell)",,"",1,"normal",135,10,,,
"Push 2new","13 Dec 2025, 16:00","13 Dec 2025, 16:54","","Bench Press - Close Grip (Barbell)",,"",2,"normal",135,10,,,
"Push 2new","13 Dec 2025, 16:00","13 Dec 2025, 16:54","","Single Arm Landmine Press (Barbell)",,"",0,"normal",180,10,,,
